"","GEOID","BF_COUNT","PB_COUNT","STATE_NUM","STATE_TERR","STATE_CODE"
"522","01125010303",NA,NA,"01","Alabama","AL"
"523","01125010407",NA,NA,"01","Alabama","AL"
"524","01125010701",NA,NA,"01","Alabama","AL"
"525","01125010803",NA,NA,"01","Alabama","AL"
"526","01125010203",NA,NA,"01","Alabama","AL"
"527","01125012303",NA,NA,"01","Alabama","AL"
"528","01125012502",NA,NA,"01","Alabama","AL"
"529","01125010103",NA,NA,"01","Alabama","AL"
"530","01125010202",NA,NA,"01","Alabama","AL"
"531","01125010302",1,NA,"01","Alabama","AL"
"532","01125010403",NA,NA,"01","Alabama","AL"
"533","01125011200",NA,NA,"01","Alabama","AL"
