X,Y,ID,COMPONENT,SITE_NAME,JOINT_BASE,STATE_TERR,BRAC_SITE,STATE_CODE,STATE_NUM,TRACT_ZIP,TRACT_FOLDER,TRACT_FILE
-84.0559661104195,31.5509979815357,"867",MC Active,MCLB Albany,N/A,Georgia,NO,GA,"13",tracts/tl_2019_13_tract.zip,tracts/tl_2019_13_tract/,tl_2019_13_tract.shp
-77.4571733963926,38.5520558460361,"868",MC Active,MCB Quantico,N/A,Virginia,NO,VA,"51",tracts/tl_2019_51_tract.zip,tracts/tl_2019_51_tract/,tl_2019_51_tract.shp
-84.1201065582635,31.6010184472209,"869",MC Active,MCLB Albany Housing Area #1,N/A,Georgia,NO,GA,"13",tracts/tl_2019_13_tract.zip,tracts/tl_2019_13_tract/,tl_2019_13_tract.shp
144.686287709945,13.3903252447979,"870",Navy Active,"NAVBASE Guam Magazine Reservoir, Naval Magazine",Joint Region Marianas,Guam,NO,GU,"66",tracts/tl_2019_66_tract.zip,tracts/tl_2019_66_tract/,tl_2019_66_tract.shp
144.692257131693,13.3594230239953,"871",Navy Active,NAVBASE Guam Naval Magazine,Joint Region Marianas,Guam,NO,GU,"66",tracts/tl_2019_66_tract.zip,tracts/tl_2019_66_tract/,tl_2019_66_tract.shp
144.678636340795,13.4016131448347,"872",Navy Active,NAVBASE Guam Apra Heights,Joint Region Marianas,Guam,NO,GU,"66",tracts/tl_2019_66_tract.zip,tracts/tl_2019_66_tract/,tl_2019_66_tract.shp
144.687506548994,13.4330070375246,"873",Navy Active,Tenjo Vista,Joint Region Marianas,Guam,NO,GU,"66",tracts/tl_2019_66_tract.zip,tracts/tl_2019_66_tract/,tl_2019_66_tract.shp
144.699604018754,13.4489084813467,"874",Navy Active,Sasa Valley,Joint Region Marianas,Guam,NO,GU,"66",tracts/tl_2019_66_tract.zip,tracts/tl_2019_66_tract/,tl_2019_66_tract.shp
144.723191507934,13.4658653987128,"875",Navy Active,Nimitz Hill,Joint Region Marianas,Guam,NO,GU,"66",tracts/tl_2019_66_tract.zip,tracts/tl_2019_66_tract/,tl_2019_66_tract.shp
144.740246435108,13.4739477290535,"876",Navy Active,Naval Hospital,Joint Region Marianas,Guam,NO,GU,"66",tracts/tl_2019_66_tract.zip,tracts/tl_2019_66_tract/,tl_2019_66_tract.shp
144.808519827023,13.5415721010862,"877",Navy Active,Tanguisson Point,Joint Region Marianas,Guam,NO,GU,"66",tracts/tl_2019_66_tract.zip,tracts/tl_2019_66_tract/,tl_2019_66_tract.shp
144.830853265344,13.5499830952355,"878",Navy Active,"NAVBASE Guam Finegayan, South",Joint Region Marianas,Guam,NO,GU,"66",tracts/tl_2019_66_tract.zip,tracts/tl_2019_66_tract/,tl_2019_66_tract.shp
144.828809234809,13.4768153596885,"879",Navy Active,NAVBASE Guam Barrigada,Joint Region Marianas,Guam,NO,GU,"66",tracts/tl_2019_66_tract.zip,tracts/tl_2019_66_tract/,tl_2019_66_tract.shp
144.809944789217,13.5097297830971,"880",Navy Active,Andersen Supply Annex,N/A,Guam,NO,GU,"66",tracts/tl_2019_66_tract.zip,tracts/tl_2019_66_tract/,tl_2019_66_tract.shp
144.811096949969,13.5179166954452,"881",Navy Active,Andersen Petrol Product Storage Annex #2,N/A,Guam,NO,GU,"66",tracts/tl_2019_66_tract.zip,tracts/tl_2019_66_tract/,tl_2019_66_tract.shp
144.86232607294,13.5867134316383,"882",Navy Active,Andersen Petrol Product Storage Annex #1,N/A,Guam,NO,GU,"66",tracts/tl_2019_66_tract.zip,tracts/tl_2019_66_tract/,tl_2019_66_tract.shp
144.812533080371,13.4564301411929,"883",Navy Active,Andersen Communications Annex #2,N/A,Guam,NO,GU,"66",tracts/tl_2019_66_tract.zip,tracts/tl_2019_66_tract/,tl_2019_66_tract.shp
